Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 119] Train-acc: 0.958, loss: 0.111 | Test-acc: 0.833 | time: 4.5 | Speed: 490.17 samples/sec | lr: 0.00013348
[Epoch 120] Train-acc: 0.939, loss: 0.145 | Test-acc: 0.833 | time: 4.5 | Speed: 485.93 samples/sec | lr: 0.00013348
[Epoch 121] Train-acc: 0.949, loss: 0.127 | Test-acc: 0.838 | time: 4.5 | Speed: 483.75 samples/sec | lr: 0.00013348
[Epoch 122] Train-acc: 0.956, loss: 0.122 | Test-acc: 0.845 | time: 4.6 | Speed: 482.14 samples/sec | lr: 0.00013348
[Epoch 123] Train-acc: 0.944, loss: 0.137 | Test-acc: 0.833 | time: 4.5 | Speed: 484.98 samples/sec | lr: 0.00013348
[Epoch 124] Train-acc: 0.953, loss: 0.130 | Test-acc: 0.836 | time: 4.5 | Speed: 484.36 samples/sec | lr: 0.00013348
[Epoch 125] Train-acc: 0.951, loss: 0.125 | Test-acc: 0.835 | time: 4.6 | Speed: 480.78 samples/sec | lr: 0.00013348
[Epoch 126] Train-acc: 0.951, loss: 0.128 | Test-acc: 0.836 | time: 4.6 | Speed: 480.06 samples/sec | lr: 0.00013348
[Epoch 127] Train-acc: 0.957, loss: 0.115 | Test-acc: 0.835 | time: 4.6 | Speed: 480.02 samples/sec | lr: 0.00013348
[Epoch 128] Train-acc: 0.952, loss: 0.121 | Test-acc: 0.833 | time: 4.6 | Speed: 482.68 samples/sec | lr: 0.00013348
[Epoch 129] Train-acc: 0.956, loss: 0.124 | Test-acc: 0.835 | time: 4.6 | Speed: 478.27 samples/sec | lr: 0.00013348
[Epoch 130] Train-acc: 0.954, loss: 0.133 | Test-acc: 0.833 | time: 4.5 | Speed: 486.23 samples/sec | lr: 0.00013348
[Epoch 131] Train-acc: 0.954, loss: 0.115 | Test-acc: 0.835 | time: 4.5 | Speed: 493.69 samples/sec | lr: 0.00013348
[Epoch 132] Train-acc: 0.945, loss: 0.134 | Test-acc: 0.838 | time: 4.5 | Speed: 483.97 samples/sec | lr: 0.00013348
[Epoch 133] Train-acc: 0.959, loss: 0.113 | Test-acc: 0.840 | time: 4.5 | Speed: 492.77 samples/sec | lr: 0.00013348
[Epoch 134] Train-acc: 0.958, loss: 0.116 | Test-acc: 0.842 | time: 4.6 | Speed: 482.47 samples/sec | lr: 0.00013348
[Epoch 135] Train-acc: 0.955, loss: 0.120 | Test-acc: 0.836 | time: 4.6 | Speed: 482.83 samples/sec | lr: 0.00013348
[Epoch 136] Train-acc: 0.941, loss: 0.138 | Test-acc: 0.831 | time: 4.6 | Speed: 475.92 samples/sec | lr: 0.00013348
[Epoch 137] Train-acc: 0.949, loss: 0.121 | Test-acc: 0.831 | time: 4.5 | Speed: 492.93 samples/sec | lr: 0.00013348
[Epoch 138] Train-acc: 0.954, loss: 0.118 | Test-acc: 0.844 | time: 4.6 | Speed: 475.69 samples/sec | lr: 0.00013348
[Epoch 139] Train-acc: 0.955, loss: 0.126 | Test-acc: 0.831 | time: 4.6 | Speed: 477.82 samples/sec | lr: 0.00013348
[Epoch 140] Train-acc: 0.962, loss: 0.114 | Test-acc: 0.835 | time: 4.5 | Speed: 492.01 samples/sec | lr: 0.00013348
[Epoch 141] Train-acc: 0.958, loss: 0.121 | Test-acc: 0.838 | time: 4.6 | Speed: 473.38 samples/sec | lr: 0.00013348
[Epoch 142] Train-acc: 0.958, loss: 0.106 | Test-acc: 0.833 | time: 4.5 | Speed: 489.35 samples/sec | lr: 0.00013348
[Epoch 143] Train-acc: 0.951, loss: 0.137 | Test-acc: 0.833 | time: 4.5 | Speed: 485.17 samples/sec | lr: 0.00013348
[Epoch 144] Train-acc: 0.955, loss: 0.115 | Test-acc: 0.838 | time: 4.4 | Speed: 496.95 samples/sec | lr: 0.00013348
[Epoch 145] Train-acc: 0.959, loss: 0.107 | Test-acc: 0.838 | time: 4.5 | Speed: 487.55 samples/sec | lr: 0.00013348
[Epoch 146] Train-acc: 0.958, loss: 0.116 | Test-acc: 0.840 | time: 4.7 | Speed: 470.91 samples/sec | lr: 0.00013348
[Epoch 147] Train-acc: 0.954, loss: 0.124 | Test-acc: 0.844 | time: 4.5 | Speed: 494.08 samples/sec | lr: 0.00013348
[Epoch 148] Train-acc: 0.952, loss: 0.123 | Test-acc: 0.838 | time: 4.7 | Speed: 470.43 samples/sec | lr: 0.00013348
[Epoch 149] Train-acc: 0.963, loss: 0.101 | Test-acc: 0.840 | time: 4.6 | Speed: 477.66 samples/sec | lr: 0.00013348
[Epoch 150] Train-acc: 0.950, loss: 0.127 | Test-acc: 0.844 | time: 4.8 | Speed: 462.52 samples/sec | lr: 0.00010011
[Epoch 151] Train-acc: 0.959, loss: 0.111 | Test-acc: 0.842 | time: 4.6 | Speed: 481.83 samples/sec | lr: 0.00010011
[Epoch 152] Train-acc: 0.966, loss: 0.099 | Test-acc: 0.845 | time: 4.5 | Speed: 487.21 samples/sec | lr: 0.00010011
[Epoch 153] Train-acc: 0.956, loss: 0.113 | Test-acc: 0.847 | time: 4.6 | Speed: 483.24 samples/sec | lr: 0.00010011
[Epoch 154] Train-acc: 0.962, loss: 0.112 | Test-acc: 0.829 | time: 4.7 | Speed: 470.44 samples/sec | lr: 0.00010011
