Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 172] Train-acc: 0.963, loss: 0.103 | Test-acc: 0.800 | time: 4.8 | Speed: 463.09 samples/sec | lr: 0.00010011
[Epoch 173] Train-acc: 0.961, loss: 0.094 | Test-acc: 0.802 | time: 4.7 | Speed: 467.73 samples/sec | lr: 0.00010011
[Epoch 174] Train-acc: 0.960, loss: 0.106 | Test-acc: 0.799 | time: 4.7 | Speed: 465.83 samples/sec | lr: 0.00010011
[Epoch 175] Train-acc: 0.963, loss: 0.099 | Test-acc: 0.802 | time: 4.6 | Speed: 477.37 samples/sec | lr: 0.00010011
[Epoch 176] Train-acc: 0.958, loss: 0.108 | Test-acc: 0.795 | time: 4.7 | Speed: 469.28 samples/sec | lr: 0.00010011
[Epoch 177] Train-acc: 0.961, loss: 0.096 | Test-acc: 0.800 | time: 4.8 | Speed: 462.55 samples/sec | lr: 0.00010011
[Epoch 178] Train-acc: 0.953, loss: 0.112 | Test-acc: 0.806 | time: 4.7 | Speed: 469.45 samples/sec | lr: 0.00010011
[Epoch 179] Train-acc: 0.975, loss: 0.078 | Test-acc: 0.804 | time: 4.8 | Speed: 459.36 samples/sec | lr: 0.00010011
[Epoch 180] Train-acc: 0.964, loss: 0.104 | Test-acc: 0.799 | time: 4.7 | Speed: 463.32 samples/sec | lr: 0.00010011
[Epoch 181] Train-acc: 0.966, loss: 0.096 | Test-acc: 0.802 | time: 4.7 | Speed: 469.14 samples/sec | lr: 0.00010011
